"Keyword Version: 23.4","Revision: 2026-03-17T17:34:00.294Z","Timestamp: 2026-03-17 17:35:41","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=xml"
"Category","Topic","Term","Variable_Level_1","Variable_Level_2","Variable_Level_3","Detailed_Variable","UUID"
"EARTH SCIENCE","OCEANS","","","","","","91697b7d-8f2b-4954-850e-61d5f61c867d"
"EARTH SCIENCE","OCEANS","AQUATIC SCIENCES","","","","","f27ad52c-3dfd-4788-851a-427e60ae1b8f"
"EARTH SCIENCE","OCEANS","AQUATIC SCIENCES","AQUACULTURE","","","","f6c057c9-c789-4cd5-ba22-e9b08aae152b"
"EARTH SCIENCE","OCEANS","AQUATIC SCIENCES","FISHERIES","","","","fa57b0a0-9723-4195-bdd1-4f26aefa0e07"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","","","","","c16bda61-353b-4668-af2f-bbb98785b6fa"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","ABYSSAL HILLS/PLAINS","","","","0b011562-ee55-4ba0-a026-4faa7493ca5b"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","BATHYMETRY","","","","80d79c7e-6c64-4ada-bfcc-4093969758a5"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","BATHYMETRY","COASTAL BATHYMETRY","","","d80c015f-a383-4883-8309-6aab1c39f5b6"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","CONTINENTAL MARGINS","","","","a91a00f7-05ed-4633-9fac-1772a48b6342"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","FRACTURE ZONES","","","","58c12630-a889-44c1-a951-56bbbe9758c9"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","OCEAN PLATEAUS/RIDGES","","","","73e02157-9df9-415f-93fc-cb457989ddb1"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","SEAFLOOR TOPOGRAPHY","","","","b6b51058-1111-4498-a9ac-e1515270fb27"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","SEAMOUNTS","","","","83520258-413c-4842-93c0-58a23dc58638"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","SUB-BOTTOM PROFILE","","","","8b22d265-0f46-46c1-b307-1957527c13bb"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","SUBMARINE CANYONS","","","","18ce5577-26e9-4b76-860b-1ba31cafa9d0"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","TRENCHES","","","","36040c6a-5e3a-49fe-b519-162fb77a0fd4"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","WATER DEPTH","","","","ca477721-473b-40d7-a72b-4ffa963e48fb"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","","","","","b6fd22ab-dca7-4dfa-8812-913453b5695b"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","BARRIER ISLANDS","","","","7e28f2e0-a641-4085-be07-366ed6e701f4"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","BEACHES","","","","4ba798ce-ad0b-4809-94fa-ec1b8e294252"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","BOTTOM COVER TYPE","","","","22450240-b06c-4954-a8d6-c6b756dab92d"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","COASTAL ELEVATION","","","","1fbf5df2-ab7c-43fc-9bb2-8eb3f8891f7b"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","CORAL REEFS","","","","ad497e7a-48fa-45e1-90a5-b052508bdb30"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","CORAL REEFS","CORAL BLEACHING","","","f5df87b6-ed50-4da0-9ba5-7ce4c907bdb3"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","CORAL REEFS","CORAL REEF ASSESSMENT","","","3edb3342-dab8-41d6-9f6a-28dd448528ec"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","CORAL REEFS","CORAL REEF EXTENT","","","7e24064a-7035-402a-ab9d-fa5e5c359720"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","DELTAS","","","","f9f0f92b-7901-4dda-8d64-be4e845ce29b"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","DUNES","","","","6f7b2753-aed1-4783-a7cc-781d00d13a0f"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","EROSION","","","","cd7a7748-7231-4a73-b85c-b5696066230a"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","ESTUARIES","","","","a7dcdedf-bcc5-4032-b70f-7fadf74d6144"
